b00,b01,b02,b03,b04,b05,b06,b07,b10,b11,b12,b13,b14,b15,b16,b17,b20,b21,b22,b23,b24,b25,b26,b27,hand_me,hand_enemy,board_me,board_enemy,solution
0,2,0,0,2,0,1,0,0,0,0,1,2,0,0,1,0,0,2,0,0,2,0,0,0,0,3,5,541
0,0,1,2,0,0,2,0,1,1,2,0,0,0,1,1,1,1,2,0,0,2,1,0,0,0,8,5,520
0,0,0,0,1,2,0,2,2,0,2,1,0,0,2,0,0,1,1,2,0,0,1,1,0,0,6,6,503
1,1,2,2,2,0,1,2,0,2,0,2,0,1,0,1,2,1,1,1,2,1,2,0,0,0,9,9,360
1,2,0,0,0,0,0,0,0,2,2,1,2,2,0,2,2,1,0,0,0,2,0,0,0,0,3,8,487
1,2,1,0,0,2,2,1,0,1,2,0,1,0,2,0,0,0,0,2,0,1,1,1,0,0,8,6,480
2,2,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,2,0,1,0,1,1,0,0,0,7,4,335
0,2,2,0,1,1,1,1,0,0,2,1,1,0,0,1,2,0,0,1,0,1,0,2,0,0,9,5,168
2,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,3,6,237
0,2,2,0,2,0,2,1,1,2,2,0,2,1,0,0,1,0,0,1,0,2,1,0,0,0,6,8,336
0,1,0,2,2,0,0,1,0,0,1,2,0,0,0,2,0,0,0,2,0,2,2,0,0,0,3,7,62
0,2,0,2,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,3,432
0,2,0,0,1,0,2,0,0,0,1,0,2,1,1,0,0,0,0,2,1,0,0,0,0,0,5,4,377
2,0,2,2,1,2,0,0,0,0,2,0,1,1,2,1,2,0,2,0,0,0,0,2,0,0,4,9,480
0,0,0,2,2,1,0,1,2,2,1,1,1,1,2,2,2,1,0,2,1,0,1,0,0,0,9,8,144
0,0,0,2,2,1,0,0,0,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,4,3,3,5,12
2,0,2,0,0,0,1,0,1,2,0,1,1,2,2,1,0,0,0,0,0,2,2,0,0,0,5,7,551
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2,2,0,0,6,5,3,4,16
0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,2,1,1,1,1,4,4,7
0,1,0,2,1,0,0,1,1,0,0,0,2,0,1,2,2,1,1,0,1,2,1,2,0,0,9,6,103
2,1,1,2,2,0,2,0,0,1,1,0,0,2,1,0,1,2,0,2,1,0,2,1,0,0,8,8,191
0,2,0,1,2,0,0,2,0,1,1,1,0,2,0,1,2,2,1,2,1,0,0,1,0,0,8,7,569
2,2,1,0,2,0,2,1,0,2,1,0,0,0,0,2,2,1,0,1,0,2,1,0,2,1,6,8,8
0,2,1,0,0,0,0,1,0,2,2,2,1,2,1,0,2,2,0,0,0,1,2,1,0,0,6,8,431
1,1,1,1,1,2,0,2,2,0,2,0,0,1,1,0,0,0,1,2,2,2,1,0,0,0,9,7,30
2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,2,0,0,0,0,0,0,3,4,468
0,0,0,0,0,1,0,2,0,2,1,1,0,1,2,0,0,0,1,0,1,1,0,0,0,0,7,3,263
0,2,0,0,0,2,0,0,0,2,0,0,2,1,2,0,0,0,0,1,0,2,1,0,0,0,3,6,323
1,0,0,1,2,0,2,0,0,1,0,1,2,0,1,0,0,0,0,1,0,2,2,2,0,0,6,6,222
0,0,2,1,2,1,0,0,0,0,2,0,2,1,1,0,1,1,2,2,1,0,2,1,1,1,8,7,549
1,1,0,2,0,1,0,2,2,1,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,8,4,144
2,1,2,0,1,1,2,1,2,2,1,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,8,7,295
0,0,0,1,2,1,1,0,0,0,1,2,0,0,0,2,2,0,0,1,2,2,0,0,0,0,5,6,336
0,2,1,0,1,0,2,2,0,1,0,2,2,0,1,0,0,0,0,1,0,0,2,1,0,0,6,6,199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,7,7,2,2,14
0,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,5,4,391
0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,1,1,2,1,0,0,0,2,1,0,0,9,3,568
2,0,0,0,0,0,2,2,2,0,0,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,3,6,311
0,2,0,1,1,1,0,0,2,1,2,0,2,1,0,0,0,2,0,0,2,0,0,0,3,2,5,6,5
0,2,1,0,0,1,0,0,0,0,0,0,1,2,2,0,0,2,2,2,0,0,0,2,0,0,3,7,265
0,0,2,1,1,1,0,2,0,0,0,1,0,1,0,0,0,2,0,1,0,2,0,0,0,0,6,4,232
0,2,0,1,1,0,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,5,4,479
2,0,1,2,1,0,0,0,2,1,2,1,1,1,0,2,2,1,2,1,2,0,0,0,0,0,8,8,72
1,1,0,0,1,2,0,0,0,0,0,0,1,1,1,2,1,2,0,2,2,0,0,0,0,0,7,5,95
0,2,0,2,0,2,0,2,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,4,5,295
0,2,0,0,1,0,0,0,0,1,2,0,0,2,1,1,2,0,0,0,0,0,0,2,0,0,4,5,552
0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,6,6,3,3,286
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,0,2,2,0,0,0,3,4,207
0,0,2,2,1,0,0,2,0,2,1,0,0,1,1,0,0,0,1,2,1,0,1,0,0,0,7,5,287
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,2,2,0,0,0,3,4,342
0,2,0,1,1,1,0,2,0,2,2,2,0,2,2,0,2,0,0,0,0,0,1,0,0,0,4,8,144
2,0,0,1,0,2,2,2,0,0,0,0,0,2,1,0,0,0,2,0,0,0,2,1,0,0,3,7,210
2,2,2,0,1,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,6,4,520
2,0,2,1,0,0,1,0,0,2,1,0,0,1,0,0,0,2,0,1,2,2,0,0,3,3,5,6,1
1,1,2,0,2,1,1,2,1,1,0,0,2,0,1,2,0,0,0,2,1,1,2,2,0,0,9,8,103
2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,1,1,2,2,2,2,0,1,0,0,5,7,503
0,1,0,0,1,2,0,1,0,0,1,2,0,2,0,0,1,2,1,1,0,1,2,1,0,0,9,5,239
0,0,0,0,0,2,2,1,0,2,0,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,6,6,432
1,1,1,0,1,0,2,0,0,1,2,0,1,1,0,0,2,0,0,1,2,0,0,1,0,0,9,4,72
0,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,375
0,1,0,1,2,0,0,0,0,2,1,0,2,1,0,0,0,0,1,1,0,2,0,2,0,0,6,5,328
1,2,2,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,2,0,0,4,4,5,5,10
1,2,2,1,0,0,0,1,0,1,2,1,1,2,0,0,2,0,2,0,2,0,1,2,2,1,7,8,10
2,0,0,0,2,0,0,0,0,0,1,2,0,1,0,1,2,0,0,1,2,0,2,1,0,0,5,6,376
0,1,0,1,2,1,0,0,0,2,2,1,2,1,0,0,2,0,1,1,1,2,2,1,0,0,9,7,280
0,0,0,1,2,0,0,0,0,0,1,0,2,2,1,0,2,0,1,0,0,0,0,0,3,2,4,4,4
0,2,2,1,1,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,4,4,5,4,12
2,2,2,2,1,1,0,0,0,2,0,0,1,0,0,1,1,1,0,0,2,0,2,0,0,0,6,7,247
2,2,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,3,5,362
0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,4,4,472
0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,2,2,1,5,4,4,5,19
0,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,1,2,2,1,0,0,1,0,0,0,4,5,144
0,2,0,2,0,0,0,2,1,1,0,2,0,2,0,0,1,0,1,0,2,0,2,0,0,0,4,7,527
0,0,0,1,2,0,0,2,0,2,1,1,0,1,0,2,0,0,1,2,1,0,0,0,2,2,6,5,266
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,0,1,0,0,0,7,3,456
2,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,0,2,1,2,0,2,0,0,0,3,7,260
1,0,1,0,0,0,0,1,0,0,2,1,0,0,1,2,1,2,0,0,0,0,0,2,0,0,6,4,103
1,0,0,2,0,1,2,0,2,1,2,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,9,4,144
0,0,2,2,2,1,1,1,2,0,2,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,9,5,551
0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,4,3,383
0,0,0,1,1,2,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,3,247
0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,2,1,0,1,0,2,2,0,0,0,7,3,432
1,2,0,0,0,1,0,0,2,1,2,0,2,0,1,0,2,0,0,1,0,1,2,0,0,0,6,6,335
0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,4,3,287
1,2,0,2,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,5,4,167
0,0,0,0,1,0,2,1,0,0,1,0,2,0,1,1,2,1,1,1,1,0,0,0,0,0,9,3,239
1,0,0,0,2,0,2,0,0,1,0,2,0,1,0,0,2,0,0,0,2,1,0,2,0,0,4,6,24
0,2,2,0,0,1,0,2,1,0,2,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,6,5,263
2,0,1,2,0,2,0,1,0,1,1,2,2,1,1,2,2,0,0,1,2,1,0,1,0,0,9,8,328
0,0,2,0,0,1,0,0,1,2,0,0,1,0,1,2,1,1,0,1,1,2,1,2,0,0,9,5,311
0,2,2,0,1,0,2,0,0,0,2,0,2,2,1,0,0,1,0,0,2,0,1,0,0,0,4,7,504
0,0,0,0,2,1,2,0,1,1,1,1,2,0,0,0,2,0,0,1,0,2,0,0,0,0,6,5,377
0,1,0,0,0,0,2,0,0,0,1,1,0,2,0,2,2,2,2,1,0,1,0,0,0,0,5,6,328
2,2,0,0,2,0,2,1,2,1,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,3,8,430
1,0,2,2,2,2,0,1,2,1,2,0,1,2,0,0,0,0,1,2,1,0,1,0,0,0,7,8,144
2,0,2,1,2,2,1,0,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,6,575
2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,6,5,520
1,1,1,0,0,0,0,0,0,1,1,2,1,2,2,1,0,0,0,0,1,1,0,0,0,0,9,3,383
0,0,0,2,1,0,0,2,1,0,0,2,1,0,0,1,0,1,2,1,0,2,0,0,0,0,6,5,343
0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,2,2,2,0,1,0,0,2,0,0,0,3,6,331
1,0,0,1,1,1,0,0,0,2,1,0,0,2,0,0,0,0,1,2,1,1,1,0,0,0,9,3,391
1,2,2,1,2,0,2,0,0,1,2,0,0,2,1,0,0,0,2,1,0,2,0,0,0,0,5,8,328
0,0,0,0,0,0,2,2,1,1,2,0,2,1,0,0,0,2,0,0,2,2,2,2,0,0,3,9,278
0,0,2,2,1,1,1,2,2,0,1,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,6,6,391
0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,3,220
0,0,0,1,2,1,1,1,2,1,1,1,2,1,2,2,0,0,0,0,0,2,0,0,1,1,8,6,309
0,0,1,0,1,1,0,0,0,0,1,0,1,2,2,0,2,0,0,1,1,2,0,0,0,0,7,4,377
1,1,1,2,0,0,0,2,1,0,2,2,2,0,1,1,0,1,2,0,0,2,0,0,1,1,7,7,138
1,1,0,2,1,1,2,1,0,0,0,0,0,1,1,0,0,2,2,1,0,0,2,1,0,0,9,5,48
0,0,2,2,0,2,0,0,1,0,2,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,5,5,527
2,0,0,1,1,1,0,0,2,2,2,0,0,1,0,0,1,0,2,0,1,2,0,0,2,1,6,6,23
1,1,1,1,0,2,2,0,0,1,0,1,0,0,0,2,0,1,0,2,0,0,1,0,0,0,8,4,72
0,1,0,0,2,1,1,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,7,3,479
2,2,2,0,1,1,0,2,1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,5,6,335
2,0,2,0,0,0,0,0,2,1,2,1,1,0,1,2,1,2,0,0,0,2,0,1,3,2,6,7,279
0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,1,2,0,0,3,6,160
0,2,0,0,0,2,0,0,2,2,0,0,1,2,0,1,2,2,0,2,1,0,0,0,0,0,3,8,535
2,1,0,0,1,1,1,1,1,1,1,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0,9,4,414
2,2,2,0,0,0,0,1,1,0,0,0,2,2,0,2,1,1,1,2,0,0,0,0,0,0,5,7,360
0,1,0,1,0,1,0,1,2,2,2,1,0,2,0,1,2,0,1,0,1,0,2,0,0,0,8,6,263
0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,2,0,0,2,1,2,0,2,0,0,0,6,4,263
1,1,1,2,2,0,0,0,0,2,1,0,1,1,1,0,1,2,2,0,0,2,0,1,0,0,9,6,120
0,0,0,2,0,2,0,0,1,2,0,2,1,2,2,0,0,1,0,0,2,0,0,0,0,0,3,7,499
0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,0,0,0,0,0,0,3,5,446
2,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,3,348
0,2,2,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,4,8,311
2,2,1,2,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,3,6,172
1,2,0,2,2,0,2,0,2,0,0,0,0,0,0,2,1,0,2,2,1,1,0,0,0,0,4,8,167
0,0,2,1,0,1,0,0,0,0,1,0,0,2,1,0,2,0,0,1,1,0,2,0,0,0,6,4,216
0,0,0,2,2,0,0,2,1,0,2,1,1,2,0,0,1,1,2,1,0,2,0,0,0,0,6,7,575
0,1,0,0,0,0,2,2,2,1,0,0,0,0,2,0,0,0,1,2,0,1,0,2,0,0,4,6,47
0,2,0,2,1,2,1,1,1,0,2,0,2,1,0,0,2,0,2,0,1,0,0,0,1,1,6,7,7
1,2,1,1,0,0,0,0,0,2,2,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,7,27
0,2,1,2,1,0,0,1,0,2,1,2,2,1,0,0,2,1,0,1,2,1,1,2,0,0,9,8,431
0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,1,2,0,1,0,0,0,3,6,142
1,2,1,2,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,3,6,78
0,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,4,367
0,0,0,0,0,2,0,2,1,0,1,0,1,1,1,0,2,0,0,0,0,0,1,2,0,0,6,4,151
1,0,1,0,2,2,2,1,0,1,2,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,5,7,167
0,1,0,1,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,376
0,0,0,1,0,0,0,1,1,0,0,1,2,2,2,2,1,2,2,2,0,1,1,1,0,0,8,7,569
0,1,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,562
1,1,1,0,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,4,72
1,1,0,2,0,0,0,2,0,1,2,0,1,1,1,0,2,0,1,2,2,1,2,0,0,0,8,7,95
0,0,0,0,1,1,2,0,0,1,1,1,0,0,1,0,0,0,2,0,2,0,0,2,0,0,6,4,95
2,2,1,0,0,0,0,0,0,1,2,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,3,6,289
2,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,1,0,2,1,0,1,1,4,6,22
0,1,0,2,2,2,0,0,1,2,1,0,1,2,0,2,1,1,1,2,1,0,2,0,0,0,8,8,455
0,2,0,0,2,0,0,0,0,1,0,2,0,1,0,0,1,0,0,2,0,0,1,1,0,0,5,4,288
0,0,2,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,3,336
1,0,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,4,3,24
0,1,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,2,2,1,2,0,0,2,0,0,7,5,103
0,0,0,0,1,0,0,0,2,2,2,1,2,0,1,2,1,1,0,1,0,1,2,2,2,2,7,7,1
2,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,4,283
1,0,2,0,1,1,1,2,2,0,1,0,0,0,2,1,0,1,0,0,2,1,0,1,0,0,9,5,264
0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,1,0,1,2,0,3,2,3,7,1
1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,2,0,0,7,3,336
1,0,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,7,5,414
0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,2,2,0,0,2,0,0,0,0,3,2,5,4,5
0,2,0,0,0,2,1,0,1,0,0,1,0,0,2,0,0,2,0,2,0,0,0,1,0,0,4,5,408
0,2,0,0,1,0,0,0,0,1,2,2,2,0,0,2,0,1,0,2,2,0,0,1,0,0,4,7,185
0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,4,3,232
1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,2,2,1,1,1,0,1,0,0,9,3,120
1,0,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,0,0,0,1,0,2,1,1,3,7,19
1,1,0,0,2,0,0,1,2,2,2,2,2,0,2,0,1,2,0,1,0,1,2,1,0,0,7,9,336
2,2,0,1,1,2,2,0,0,2,1,1,0,1,0,0,0,0,1,1,2,0,0,0,2,2,7,6,2
0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,2,0,0,0,3,4,320
1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,2,2,2,0,1,0,2,0,0,0,0,8,4,30
0,2,0,1,0,2,1,2,0,1,2,2,0,0,0,2,2,0,0,0,0,0,2,2,0,0,3,9,193
0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,2,2,1,0,2,2,0,0,0,9,4,424
0,0,0,1,0,0,0,2,0,0,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,3,4,355
2,2,0,0,0,0,0,0,1,1,1,1,2,2,1,2,1,2,2,2,1,1,0,0,1,0,8,8,17
0,0,2,0,1,0,1,0,1,0,2,1,1,0,2,0,0,1,1,0,2,2,0,2,0,0,7,6,504
1,0,0,2,0,2,2,0,1,0,1,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,4,6,455
2,1,2,2,0,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,1,2,1,0,2,2,6,6,331
0,2,0,0,2,0,1,1,1,1,0,2,0,0,0,0,2,0,0,1,1,0,2,0,0,0,6,5,199
0,1,0,0,1,0,0,2,0,2,1,0,0,1,2,0,0,0,1,2,0,1,0,0,0,0,6,4,287
0,0,0,0,1,0,0,0,0,2,2,2,0,2,0,0,0,0,0,1,0,1,0,0,3,3,3,4,5
2,1,0,0,1,2,1,1,0,2,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,6,5,360
1,0,2,2,1,2,0,0,0,2,2,1,1,2,2,0,0,0,2,1,0,1,0,0,2,1,6,8,4
0,0,0,0,2,2,0,2,0,0,1,1,1,0,0,0,0,2,2,2,0,0,0,0,0,0,3,6,468
0,1,2,1,2,2,1,0,0,2,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,8,5,472
0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,1,1,2,1,1,1,0,0,0,7,3,96
0,0,0,2,2,1,1,1,1,0,1,2,2,1,2,2,1,1,1,2,2,0,0,0,0,0,9,8,376
2,0,1,0,1,2,0,1,1,1,2,2,1,1,1,0,0,2,0,0,2,2,0,0,1,1,8,7,138
2,0,2,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,1,0,0,2,0,0,5,5,240
2,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,5,4,1
0,0,0,2,0,2,1,2,0,0,2,0,2,0,2,1,2,1,1,2,0,0,0,0,0,0,4,8,552
2,1,2,0,2,0,0,1,2,1,1,2,2,1,0,1,1,2,2,1,0,0,0,2,0,0,8,9,328
2,2,2,0,1,0,0,0,0,1,1,1,1,2,1,2,2,0,1,0,0,1,0,2,0,0,8,7,359
1,0,0,2,2,2,1,1,1,2,2,1,1,0,0,1,0,1,0,2,1,0,2,0,0,0,9,7,472
0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,1,1,1,2,0,0,2,0,0,0,8,3,503
0,0,0,2,1,0,2,2,2,2,2,2,1,1,2,1,0,0,1,2,0,1,0,0,0,0,6,9,287
0,2,2,1,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,5,5,4,4,14
0,0,0,1,0,2,1,2,2,1,1,1,0,2,0,1,0,2,1,0,2,1,0,0,0,0,8,6,185
0,2,1,0,1,0,0,1,0,0,2,2,0,2,1,0,2,1,0,1,0,1,1,0,0,0,8,5,143
0,0,2,1,0,2,0,0,1,1,1,1,0,2,0,0,0,0,2,2,2,0,0,0,0,0,5,6,191
0,2,0,1,0,2,0,2,0,0,1,0,0,1,0,1,1,1,2,2,1,0,2,0,2,2,7,6,23
2,0,1,2,0,0,1,0,0,1,2,2,1,1,1,2,1,2,0,0,0,2,0,1,1,0,8,7,13
0,1,1,2,1,0,0,1,1,2,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,8,4,456
0,1,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,3,47
0,1,0,1,1,1,0,2,1,2,2,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,7,5,6
0,2,2,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,3,5,303
1,0,0,1,0,2,0,0,0,1,0,0,0,2,0,1,0,2,1,1,1,1,2,2,0,0,8,5,199
1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,3,4,172
2,0,0,1,0,1,1,0,1,1,1,0,0,0,2,2,0,0,1,0,0,0,1,2,1,1,8,4,234
1,1,2,2,2,0,1,2,0,1,2,2,0,1,0,1,2,0,1,1,2,2,0,0,1,0,8,9,20
0,0,0,1,1,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,4,236
0,0,2,2,0,0,1,0,1,1,1,0,0,1,2,1,1,1,1,2,2,0,0,0,0,0,9,5,552
0,2,1,2,1,2,0,1,0,1,2,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,6,6,280
0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,3,4,337
1,2,0,1,1,1,0,0,0,0,1,0,0,2,2,0,0,0,2,1,0,0,0,2,3,3,6,5,19
1,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,5,4,2,4,21
1,2,0,2,1,0,0,1,0,2,2,1,0,2,2,0,1,0,2,1,0,1,2,0,1,0,7,8,19
1,0,1,1,2,1,1,2,0,2,1,2,2,2,0,2,1,0,2,1,0,2,0,0,1,0,8,9,152
1,0,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,4,3,432
0,2,1,0,0,1,0,0,0,1,2,0,1,0,1,0,1,2,0,1,0,2,1,1,0,0,9,4,335
0,0,2,1,1,0,0,0,0,1,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,5,3,335
2,1,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,3,343
1,2,1,0,2,1,0,1,0,2,2,0,2,2,2,0,0,0,1,2,1,0,0,0,0,0,6,8,432
1,1,1,1,0,1,0,1,0,0,0,0,2,0,1,0,2,0,1,0,2,0,2,1,0,0,9,4,263
0,1,0,0,1,0,0,1,2,2,1,2,0,0,0,1,2,0,0,0,2,1,0,0,0,0,6,5,47
1,2,0,0,2,0,0,1,0,0,1,1,0,0,1,2,2,0,0,2,0,1,1,1,0,0,8,5,168
0,0,0,0,2,0,1,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,4,443
1,1,1,0,2,0,2,0,0,0,1,0,0,2,2,0,0,1,2,1,0,0,1,2,0,0,7,6,30
0,1,0,2,1,2,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,0,6,5,168
1,1,1,0,0,1,1,1,2,0,0,1,2,2,0,2,1,0,2,2,0,0,0,0,0,0,8,6,263
1,1,0,2,2,0,2,2,0,2,0,1,0,2,2,0,0,2,0,0,0,2,0,0,0,0,3,9,555
2,0,0,1,2,2,0,0,2,1,1,1,0,1,0,0,2,0,2,1,0,0,0,0,3,2,6,6,1
1,1,1,2,1,0,0,2,0,2,2,1,0,1,0,0,2,0,2,0,1,1,2,2,0,0,8,8,240
0,2,1,2,0,1,0,0,0,1,2,0,1,0,1,0,0,0,2,0,1,2,2,1,0,0,7,6,103
0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,2,0,0,2,0,0,2,0,0,0,6,3,552
1,2,0,0,0,0,0,2,0,1,2,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,5,5,167
0,0,0,1,2,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,4,3,222
0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,1,1,1,0,0,4,4,151
0,0,1,1,1,0,1,0,1,1,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,0,9,3,240
1,2,0,0,1,0,0,2,1,1,0,0,2,2,1,0,0,1,0,0,0,1,1,2,1,1,8,5,14
1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,1,2,0,0,4,3,95
1,2,2,2,2,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,6,480
